ID,Text,Label
57,i feel awful because i see her eating in mr,sadness
58,i said earlier don t you feel me is all about the emotional mind games none more so than sarah making jason watch as she tries to make jessica bone another vampire,sadness
59,i am feeling like my goal is a little lame in comparison,sadness
60,i feel that is how low i feel due to my weight,sadness
61,i know kame is feeling troubled over the decisions he made last year,sadness
62,i woke up feeling a little groggy but so rested,sadness
63,i make mistakes or feel as if ive acted out of line or let go of too much information i feel shamed,sadness
64,ive still not completely got used to ashs new working pattern i feel a bit lost at night when it used to be time for us to sit down and relax put our feet up and watch the tv hes still off at work,sadness
65,i feel sorry for the people about to lose their jobs,sadness
66,i feel guilty because i know that i am being unappreciative of what ive already been granted with,sadness
67,i didn t enter the random tournaments because i was too busy playing casuals in the other room but i heard plenty of hakans popped out on the selection screen which made me feel a little regretful about not entering,sadness
68,i feel sexually abused,sadness
69,i start feeling whiney and sad and poopy just like children when the feel bad,sadness
70,i feel ignored abandoned betrayed,sadness
71,i feel so guilty for putting my child in daycare,sadness
72,i have no flexibility goal in mind i just don t want to wake up and feel miserable every single moment of every single day,sadness
73,ive had days where i feel defeated,sadness
74,i feel like it title share on stumbleupon stumbleupon a target blank rel nofollow class reddit href http reddit,sadness
75,i want to read again because i feel that because i read those in college or thereabouts there is probably so many things i missed in those novels,sadness
76,i feel so disliked sometimes,sadness
77,i was feeling incredibly drained and while it may be viewed as a weakness i am learning to recognize that it is imperative for me to take the time to let god love on me and fill me up because without that time i m not going to last,sadness
78,i spent most of the movie shaking my head and feeling slightly embarrassed for the people who actually spent money to produce this film and for myself for sitting down to watch it,sadness
79,im feeling defeated and making up excuses,sadness
80,i feel deeply pained due to the pain i must have caused you,sadness
81,i want people to feel unwelcome and like they cant sit down anywhere,sadness
82,i feeling unloved,sadness
83,i feel awful tummy from my period and my head from last night,sadness
84,i also have been feeling pretty lousy on the days after consuming even moderate amounts of wine so i don t think i can really have more than a glass and need to make sure it s on the weekend so i m not incapacitated during the week,sadness
85,i was feeling very lethargic and thought it would be a good idea to go for a run,sadness
86,i could feel the aching in my back,sadness
87,three weeks ago a friend of mine bid me goodbye before going abroad i felt happy for her as she was achieving something by making the trip,sadness
88,i cannot help feeling that now i am fake i am not who am i really is,sadness
89,im feeling particularly lame today,sadness
90,i feel a little empty being back as most of my friends have graduated already and i dont have my work colleagues keeping me company anymore,sadness
91,i put into thinking about this person and guiding this person if that person doesn t respond i can feel like all of my labors are in vain,sadness
92,i feel like i ve complained about the aching legs an awful lot lately,sadness
93,i have a feeling my college life is going to be doomed,sadness
94,i feel so at fault it is horrible,sadness
95,i feel a bit low and one of my remedies for that is comedy,sadness
96,im feeling very remorseful at the moment,sadness
97,ive been pretty slack with updating my blog as ive been busy and feeling groggy however i am back to my usual self now the last two weeks have been pretty jam packed so im not going to go into loads of detail else i will be here for hours so i will just bullet point whats happened,sadness
98,i have heard so many times that being there is enough but when it is someone who is so close to you you cannot help but feel helpless,sadness
99,i was not feeling beaten down and slightly broken after the sequence of the last or so months,sadness
100,i feel more and more listless,sadness
101,i thought i was doing really well amp have been buying a few items or just on a certain item of food but then last week i spoke to my friend who has a complete one year supply amp i feel really discouraged,sadness
102,i feel shitty about it why do i do it,sadness
103,i feel whiney lol,sadness
104,i occasionally lose my frame and begin to feel low status,sadness
105,i made my hubby a valentine mix and now im feeling all sentimental and stuff,sadness
106,i guess i should allow for do nothing days but why why why did they have to come first making me feel doomed for the rest of it,sadness
107,i squirmed against it but the pain was starting to get to him so he stopped feeling resigned,sadness
108,i have been so twisted up frustrated feeling dumb put upon rushed had things to do places to be i want to sleep until thursday it is just all too much,sadness
109,im feeling is just groggy and after i were to pop that lethal tiny yellow pill which is like about mm in diameter it makes me all drowsy and ill just die in bed,sadness
110,i feel less jaded or more enthusiastic now,sadness
111,i certainly left feeling a little bit like a character from sex and the city but less needy and way more awesome,sadness
112,i can sit behind my computer and type and weep and say all kinds of things because there is no one right in front of me to feel embarrassed and vulnerable in front of,sadness
113,i feel mournful yet joyful when my journey leads me to an old road being taken back by the earth,sadness
114,i feel like watching another movie but u noe i m broke so i think i will have to postpone my plan,sadness
115,i didnt go feeling kinda regretful right now,sadness
116,i feel really needy right now like i could talk a friends ear off,sadness
117,i feel a bit dull,sadness
118,i mentioned in my previous post i was feeling pretty rotten after that mile hike last saturday,sadness
119,i umenyiora feels disrespected facebook a rel nofollow target blank class share delicious href http del,sadness
120,im feeling awfully disturbed today aucs as u can see,sadness
121,i feel even more useless because i cannot get that person back i cant even get him to talk,sadness
122,i want to tell him so he doesnt feel like he missed anything but i dont think he thinks he needs a replay of every event,sadness
123,i feel damaged and broken over this and i have been for so long,sadness
124,i sit quietly trying to get other work done but feeling largely useless,sadness
125,i still need to write lilah s two year birthday post and i m going to backdate it because i feel like a neglectful mama but i wanted to post a few cute photos from her birthday party,sadness
126,i have a great life an easy life and as ever i feel a little stupid about my doldrums,sadness
127,i feel like i am being punished a class post count link href http littlecyndilou,sadness
128,im feeling rotten today a href http www,sadness
129,i feel beaten,sadness
130,i cant help but to feel embarrassed for both myself and the school for the reputation its starting to get as being hostile towards blacks asians and other minorities,sadness
131,i am feeling heartbroken all the same,sadness
132,im dealing with are not the end of the world but ive been battling so much that i just feel drained ineffective and done,sadness
133,i have so many people around me and yet i feel alone,sadness
134,i feel on the inside pretty crappy and i am finding i dont think the outside is looking so hot either,sadness
135,i feel devastated with the situation that i have placed you,sadness
136,i feel horrible that i am questioning him and his wisdom part of my catholic upbringing i guess,sadness
137,i am also grateful for the reminder that i cant feel sorry for myself and be grateful at the same time,sadness
138,i hate it i know i can feel but when you love it you know its not real no and i am resigned to this wicked fucking world on its way to hell the living are dead and i hope to join them too i know what to do and i do it well,sadness
139,i left brakpan police station feeling disheartened,sadness
140,im feeling a little sentimental tonight,sadness
141,i feel like such a neglectful mother i know its all just for attention,sadness
142,i am trying to get at has nothing to really do with feeling rejected but the way people go about doing it,sadness
143,i suddenly crumble and get immediate feelings of being disliked or bad,sadness
144,i woke up with a gut feeling of being so guilty,sadness
145,i feel as though all of my characters are boring too mainstream or just,sadness
146,i just feel so disillusioned about singaporeans and their mind our own business attitude that has already crept into our subconcious and become the way of life,sadness
147,i feel like he was miserable because im happy,sadness
148,i feel alone all the time and he just happened to be there,sadness
149,i feel like a messy drawer hats been straightened up,sadness
150,i am feeling like a bit of a dull fucker at the moment,sadness
151,i need no stamps or degrees to feel valuable enough to qualify for and participate in society,joy
152,i feel very privileged to be mingling with them,joy
153,i became happy after i found god or i was so unhappy until i got god into my life i believe in god i pray i m a good person most of the time but i have this void emptiness horrible feeling lately and how come i m not as happy,joy
154,i feel adventurous,joy
155,i am apparently feeling inspired and i posted two shared topic ideas on the a href http www,joy
156,i even had time to make some freebies last week as i was feeling very generous,joy
157,i couldnt stop myself and started feeling joyful and hopeful inside as pilate turned to the crowd and said i can find no fault with this man,joy
158,i feel comes from dave that s really cool lessard said,joy
159,i didnt have a bum knee i d feel more triumphant more like a real athlete maybe if i d trained harder i wouldn t be feeling this way,joy
160,i am blunt only because i feel that someone should be told something in a truthful way,joy
161,i feel pretty lucky to have it in my house,joy
162,i guess it feels virtuous,joy
163,i can say i feel very satisfied watching this,joy
164,i giggle away it just feels so cute,joy
165,i do not want to feel superior again,joy
166,i think i ve grown up a certain stage in me and somehow i feel these poems as a return in the past and not a pleasant one,joy
167,i am feeling so joyful this morning,joy
168,i feel like a princess so so gorgeous,joy
169,i feel more confident and less socially awkward than i have in years,joy
170,i liked just talking to someone and that butterfly like feeling you get when someone is sweet to you and it just felt nice to be noticed again,joy
171,i was feeling invigorated free light i wasn t thinking about anything,joy
172,i reflect on my life i feel nothing but contented,joy
173,i used to love love love dressing up and going to parties and having a spooky time but this year just feels mellow,joy
174,i find myself very sensitive to what she feels about me and with that i withdraw a little of my playful nature,joy
175,i don t feel as happy as i thought i would,joy
176,ive become in a mere years yeah right o but i really just feel so eager for it all,joy
177,i only need to crack open a volume and instantly i feel reassured that things will be alright,joy
178,i feel righteously virtuous that i work a full schedule plan and cook organic meals for my family weekly visits to the farmers market do the laundry ok with a little help from k manage all finances and keep a clean organized house,joy
179,i have absolutely no reasonings why i like you so much i know that there are many others who dislike and try to tear you apart but there is a special something that i feel within you and i am always delighted when you respond to something of mine,joy
180,i didnt feel pain and it felt pretty comfortable,joy
181,i feel special now a dir ltr href http fireblossom wordgarden,joy
182,i there its wednesday and i am feeling giggly today because of the artist that i am featuring today a href http www,joy
183,i am slowly realising is that because i don t count the housework shopping cooking and child transporting as productive activities i am rushing to do all the things i feel are more worthwhile in between these tasks and i am actually feeling under pressure to meet my own unrealistic expectations,joy
184,i feel like if you shop smart you can still add a few things here and there to your wardrobe without breaking the bank,joy
185,i am standing in my oversized tee shirt baggy yoga pants pulled up hair already semi sweat streaked from spin and am trying to feel graceful and sexy,joy
186,i do feel this years pinnacle design is an improvement from last years i am not thrilled with it,joy
187,i ask questions to feed their egos to make them feel really smart and important,joy
188,i got a wig but i feel like everyone is looking at me but its really cute and kinda blonde,joy
189,i feel like that s divine intervention that we met because i met him as a manager,joy
190,i made them come visit us here since they are lonely at home i didnt feel that festive mood that i always felt back in malaysia when i see those decorations and listen to the new year songs being played in the shopping malls,joy
191,i feel like all the carefree i had is tainted with a double meaning somehow,joy
192,i feel like portal is a bit of an homage to being a smart nerd and that endears it to me quite a bit,joy
193,im feeling and recently saying no took a lot courage as there are a lot of cool stuff going on but its making me feel better,joy
194,i feel peaceful right now,joy
195,i guarantee you will feel glamorous if you do the gloves then focus on your heels and a wonderful black beaded pair of earrings,joy
196,i find i have a mixture of conflicting feelings sadness that it is all over glad that i had the opportunity to spend time there and perhaps disappointment that we couldnt make it work in the timescale,joy
197,i feeling hopelessly rich,joy
198,i suppose its a lack of feeling special,joy
199,i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,joy
200,i am much more aware of my own limitations now than i was three years ago and i no longer feel at all sure that we are prepared for another child who has bigger needs,joy
201,i am feeling ecstatic for several days now,joy
202,im feeling eager to get back on the elliptical,joy
203,i also value then i would feel ok about giving thousandth of my salary to that same charity,joy
204,i feel like my creative juices are gone,joy
205,im really not feeling too keen on these things,joy
206,i will discover what it feels like to look for alaska through the eyes of one very talented brother and founding nerdfighter,joy
207,i chose vain beauty initially i wasnt very keen on vain beauty because when i called the lady who answered gave very curt answers which made me feel that she wasnt very keen on doing my business,joy
208,i was feeling pretty smug because i met my challenge a href http lindacraftycorner,joy
209,i feel as tho i am over eager but im not gonna fight it,joy
210,i feel excited or not,joy
211,i love the colour and i feel really glamourous when i put it on,joy
212,i knew that she was dying about a year before she actually left us and so i spent almost half of the last year of her life with her and had some great heart to heart very honest talks with her that allow me to feel peaceful now,joy
213,i will feel carefree,joy
214,im just not comfortable at home because no one who can make me comfortable and feel valued,joy
215,ill be doing to make myself feel virtuous,joy
216,im now on my second martini and feeling fine,joy
217,i am feeling excited about my new channeling crystals sided face with an isis face also,joy
218,i feel honoured that finally the iranian authorities recognised my effort to promote the persian cat as a mayor player in science and research,joy
219,i am going to wear the yoke and ruffle skirt that makes me feel gorgeous,joy
220,i am definitely feeling the heat of having my wedding follow such a gorgeous ceremony and reception so closely,joy
221,i shook my head and kept walking feeling quite smug that hed never guess,joy
222,i didnt feel too smart after that but i did feel proud,joy
223,i dont know why but i dont feel contented,joy
224,i could feel her jump at all the bangs which was so cute,joy
225,i write this i realize that it may sound that i am feeling quite virtuous about my morning s efforts and sounding quite impossible,joy
226,i feel judging from my blog content i must at times come across as quite snobby because i prefer classics over a lot of contemporary fiction,joy
227,i feel that many are not in substance elegant but very filling from the supreme good heart,joy
228,i have dance my school work money problem i dun need no more problems worrying about you worrying about my feelings for u i have assured u time and time again,joy
229,i feel in a funk because there is not one single area of my house that is pretty acceptable enough for me to photograph and put on my blog,joy
230,i feel might be useful to teachers and administrators who work with refugees,joy
231,i always am when charged with creating art because i just don t feel i m all that artistic,joy
232,i know second time but i feel like it with another picture showing the artistic side of me,joy
233,i feel privileged to do life with her,joy
234,i channeled a lot of my own wit in my last posting i m just not feeling the humorous spirits tonight errr early evening pre staff meeting,joy
235,i feel pretty cute in them too,joy
236,i just love knowing that soon i am going to be able to have a sunday where i am not totally bummed that ill have to go to sleep early d for me the best feeling is waking up to the sun and being carefree,joy
237,i do feel like im working towards my goal now and feeling more relaxed and content with my life even more,joy
238,i feel that it s vital that people have ample time to express their views,joy
239,im feeling positive right now though because i decided to jog even though i usually end up so disappointed in how awful i am,joy
240,i feel so much energetic when i know them,joy
241,i just would feel more convinced it someone in business said so,joy
242,i just want to pay my bills doing something i feel is valuable,joy
243,i was feeling fantastic per my post on january th,joy
244,i feel extremely satisfied serving the poor free of cost said dr,joy
245,im feeling happy today hahaha,joy
246,i feel like thrilled or something like really happy,joy
247,i just forgot about the disappointment feeling because i was not accepted just i f you read this just think about it as something that i wanted to tell you just so you will remember those times,joy
248,i get the cold and then wear it on my face for the rest of the month during which i have to endure people repeatedly asking me if i feel ok because you look terrible,joy
249,i feel honoured to have this mona piece chosen to be put on a large,joy
250,i have readers i feel like i need to write or say something worthwhile something that will keep their attention and maybe even make them smile,joy
251,i feel that creative fire and sometimes i feel nothing at all a hollow where before ideas snuggled up together and percolated one by one through the filter of my waking mind,joy
252,i feel like he has a very pleasant nearly transparent presence on lobelia though that presence was necessary nonetheless,joy
253,i am sure if one romance rekindled like the way angel did stoic can even feel the feel and yet this time so much to reveal as i just got divine bliss,joy
254,i did feel like accosting this ridiculously handsome couple that i passed on the sidewalk yesterday,joy
255,i start to feel joyful seem to be hit by life,joy
256,i feel in a very graceful way,joy
257,i left uganda i was feeling pretty fed up,joy
258,i feel confident in the thoroughness of the doctors and in the fact that they wont hesitate to send us to boston if they feel they are in over their heads,joy
259,i make myself feel energetic and superior and more than and a href http eqafe,joy
260,im feeling peaceful and blessed and very grateful tonight,joy
261,i was feeling very overworked and i wasn t really that pleasant to be around,joy
262,i feel honoured to be asked to chair this lecture,joy
263,i love and it brings me absolute joy to stay up editing photos everyday til the wee hours of the morning because that feeling when ive freezed a perfect moment that feeling when i realize im proud of a photo ive taken that feeling,joy
264,i was used to coming out of the shower and feeling instantly like my hair was in a fab condition but these products definitely took a couple of days to settle down,joy
265,i feel fine a href http alexfeldstein,joy
266,i received this script and i thought it was really funny and unique and new so i auditioned for it and ended up getting the part and i couldn t be happier or feel lucky it s so much fun,joy
267,i settled back onto my knees not sure if i should feel relieved,joy
268,i do to make he believe me that my feelings are sincere,joy
269,im feeling a bit more positive although still tired and achy,joy
270,i feel the amount of intelligent jokes decreased significantly,joy
271,i feel it wont be that pleasant though im not worried about this secret how about you,joy
272,i think this is good legislation and with the help of the inspector general s office the residents of yonkers will be able to feel assured as the city enacts more safeguards to discourage inappropriate transactions faulty records or the more dastardly case of outright embezzlement,joy
273,i feel like if things are determined by the universe or the universal balance or whatever i have a safety net,joy
274,i was expecting way too much out of myself by trying to feel happy and awesome,joy
275,i feel carefree i feel very at ease and i feel like myself,joy
276,ive been spending a lot of time in my sewing room again and it feels wonderful,joy
277,im thankful that i feel that much more obscenely proud than jealous of said ass kicking friends,joy
278,i am feeling incredibly thankful for my family,joy
279,i was pretty sure i was dying but today im feeling more optimistic about survival,joy
280,i need to feel like what im doing is worthwhile to someone else as well as me,joy
281,im feeling glamorous,joy
282,i have a feeling its gonna be pretty cute,joy
283,i used to race with the sun feeling life running through my veins being carefree after some not so much happy years,joy
284,i come to paris i feel so welcomed by the whole city,joy
285,i feel like i m still just getting started and there are many ideas and directions i m eager to pursue,joy
286,i see cute boys i get so elated i feel like im so delighted and my eyes literally turn heart shaped like in cartoons,joy
287,im not feeling cute funny or witty this evening,joy
288,i feel the most inspired where i am the most peaceful and where i go to remember what is important,joy
289,i do feel that the song is a lot more festive both in the way it sounds and the video content which can only be a positive,joy
290,i thought this was a profound thing to say because in this day and age people still look at hiv positive people in a funny way and feel pity for them convinced that they are surely dying slowly,joy
291,i didnt feel a spark necessarily but he was cute and was fun to talk with,joy
292,i feel comfortable within my skin,joy
293,i can say with certainty that minutes after you finish eating you will be full and satisfied and you will also feel fantastic,joy
294,i was drafting i wasnt feeling creative enough to do without this but if someone can figure out a way to eliminate it while still giving us appropriate negotiating parameters id welcome the suggestion,joy
295,i used to feel like no one would ever like me because my hair is not super long and because i am not skinny,joy
296,im keeping my notes just in case i feel inspired to go into greater detail about this one in the morning but i doubt thatll happen,joy
297,i feel like im on a days a week pms not very pleasant if you know what i mean,joy
298,i feel so glad ive emilyn amp melinda with me throughout all these times never throwing me away when they dont need me,joy
299,i almost didnt even feel convinced by the way the book was written,joy
300,i feel very privilaged to have the opportunity to work with these incredably commited and talented artists,joy
301,i knew he was feeling horny so while sitting near him i opened his dhoti and stated mouth fucking him,love
302,i feel like for me it brings loving to a whole new level,love
303,i now feel terribly sympathetic towards parents of children who are behind their peers in reading because i suspect its easy to feel guilty or blamed,love
304,i will update you briefly on me and how im feeling and then i will leave you with some lovely egg images,love
305,ive gotten the feeling that my friends arent that supportive and are more competitive with me always trying to best me at things,love
306,i didnt feel like you were being supportive and happy for me,love
307,i wish i didnt feel the need to be this loyal,love
308,i wonder if she s going to mark me again my stomach fluttering at the thought conflicted feelings but her touch remains gentle barely there at all,love
309,i feel the pain carves me with it s knife only you can make me see it goes on and on confuses my mind i m longing for tomorrow to leave the past behind,love
310,i have definately learned that no matter how umprepared we may feel god is faithful and will work things out for his glory,love
311,i think the heart is completely ridiculous because t makes me love and feel all the emotions that come with loving another living being,love
312,i feel with the capacity of a producer and an actor someone like david would be far more accepted when he comes onscreen and shows boxing in a different light,love
313,im looking forward to moving and having more space being closer to daves work as well as friends and family i am feeling very nostalgic about leaving,love
314,im friendly with a male i just feel the need to be affectionate,love
315,i know those cobbled streets are normally home to kebab eating drunken maniacs that make you feel as if youve gone on a lads holiday to kos by accident but le qg do really lovely mojitos and during happy hour pm every day they are euros,love
316,i turn to my left and feel the hot muzzle of a gun pressed against my forehead,love
317,i definitely feel loved i guess my second love language would be gifts,love
318,i went home fortunately i hadnt gone home and left again and as i was feeling ragingly horny was checking my messages and ended up swapping messages with a guy who had been sending me rude messages and just kept on hitting the nail on the head with exactly what i like,love
319,i really stubbornly want our bikes with us i love our bikes and honestly i feel pretty loyal to yuba i dont want any other bike damn it,love
320,i feel very slutty compared to her,love
321,im scared please protect me to which the normal male response is to feel more affectionate and sympathetic towards the individual for whom he has accepted the responsibility of protecting,love
322,i feel like you are not caring enough of my circs,love
323,i daydream about quitting my job and doing something entirely different because i don t feel passionate about my work anymore,love
324,i had to announce it to my mom and i feel like im not caring for the stuff im given enough and that im somewhat unworthy of getting anything else of value from my family,love
325,i mean feeling you up doesn t feel supportive to you,love
326,i feel like my loved ones want to just put me in a box and ship me off somewhere until i see things the way i used to,love
327,i feel very loved,love
328,i use to watch and laugh at people while they were feeling pain or were soon to be killed because i grew up only caring about my grandparents,love
329,i think i am not unique in my powerful feelings for this city loving concern for its health and wholeness immense pride in its contributions to humans musical legacy awed gratitude for its part in american art and culture,love
330,i understand that there is a place for support groups and rants and anger but there needs to be room for something else and i no longer feel particularly accepted there,love
331,i feel quite tender and what is this,love
332,i feel that this is an underused topic especially when so many movies even disney movies put more of the focus on romantic relationships than family relationships,love
333,i save the smaller ones for my ass but if i am feeling really horny a nice hard carrot will take me where i need to go,love
334,i feel like he was trying to be supportive,love
335,i wont be totally satisfied until i feel like me and my work actually means something to more than my loyal reading viewing audience,love
336,im starting to feel sympathetic towards the robber now,love
337,i would feel the hot moist eager mouth as his lips and mine pressed together in passionate union and i would think of and feel many other bodily sensations and responses to his touch and presence,love
338,i recall them i am feeling fond of the memories how i was growing into my own independence at the point in my life and how it helped shaped some decisions i would later make about moving out of my home town,love
339,i feel the delicate separation of each muscle the ripples and bumps of old injuries nursing them back to smoothness,love
340,i feel romantic emotions over something non romantic,love
341,i have a feeling it meant more to her i could see a reflection of myself when she looked at me how i looked at other guys that i liked,love
342,i know everything that i want in a person but every time my feelings take over caring feelings and i cant stop myself and feel that i want to be with that person even though i know that theyre missing some key things that i feel i need,love
343,i could feel her ache her longing to embrace my words,love
344,i can feel it even with gentle walking,love
345,ill know who i am and not feel the need to emulate others behaviors to feel liked and accepted,love
346,i feel like ive been accepted into a community here in my new town,love
347,i did feel treasured by him,love
348,i was feeling very romantic a few minutes ago ugh,love
349,i feel extremely passionate about is a href http www,love
350,i am imploring people to respect my talented sons memory and feel compassion for his loving mother sasha,love
351,i see people who i do not particulary feel sympathetic to on the news that have lost everything to a tornado and they start crying or carrying on i feel my heart strings moving and tears will start running down my face,love
352,i can tell she has feelings for you and i know she loves the dog she s been caring for,love
353,i can clearly understand from a mum who has been trying over a year and i feel for those who have that longing to bring another baby into the world but are having great difficulty a href http www,love
354,i feel the movie was really about getting canadians fully on board with supporting the war more than it was to get americans to join,love
355,i enjoy feeling passionate about somethiing it makes me feel alive,love
356,im feeling cabin fever gt nowhere in groupons romantic vacation deals for two fineprint says it needs to be fulfilled by loveydoveys see where im going with this,love
357,i used oz and didnt feel like i was being generous with the chocolate at all,love
358,i wish you a good start on a new year coming and may you always feel the warmth and loving you deserve,love
359,i kissed my mother good bye as i made her drop me off away from the other kids so that it made me feel at the tender age of that i was a grown up,love
360,i wish to know whether i should feel sympathetic towards the airline american if say their plane is on fire or their pilot has exploded or whether i should want to set them on fire if say they just decided to walk on their obligations to save money,love
361,im not feeling so slutty tonight as much as pouty,love
362,i fall in love i want to fall for someone who will make me feel that loving him is the greatest decision i ever made and not just another mistake i always have this fear that one day you are going to discover that im not as great as you once thought i was,love
363,i feel snape is loyal to no one but himself,love
364,i think i rubbed it in my sleep and it feels tender,love
365,im feeling nostalgic this morning im going to link back to my post on november,love
366,i know it wont ever be like but i just want that feeling of caring back,love
367,im feeling really romantic and cheezy after watching the full season of the st shop of coffee prince,love
368,i who are feeling a little amorous this week by reading this sexy book are just going to have to wait until we get home to get a little romance,love
369,i feel like they are just trying to be blindly supportive,love
370,i feel the call to detach myself emotionally from caring so deeply about both the process and the outcomes and to surrender myself completely into gods hands leaving everything including the process the outcomes and the timing up to him,love
371,i both had a feeling she was a girl but would have also loved the idea of brothers,love
372,i really want to switch to as much as ive enjoyed this blog is a blog dedicated to type diabetes because that is what i feel truly passionate about right now,love
373,i think that is the same thing because when you have feelings you are more considerate to others because you know how you would feel and wouldnt want them to feel as hurt or as confused or hmmm,love
374,i feel like there is no point in caring for my body because it is not the body i want,love
375,i had been feeling hot all day the first day and also into the evening,love
376,i was feeling nostalgic so i went and watched older videos and read older bn posts and heres what ive noticed about this guy there was a time when he did things perfectly e,love
377,i feel i should have liked much more than i actually did,love
378,i am still feeling rather tender over the duplicity and don t think i can report about it in a logical or clinical manner,love
379,i feel it was just a nostalgic journey for me that made me think of those rare instances where you win at the end of the season,love
380,im feeling nostalgic ill share it here,love
381,i feel birth and caring for a newborn is not something you can read about and control,love
382,im done massaging them my nipples are so hard and i feel so horny that i cant help but moan and imagine you fucking me from behind while you mash my two big boobs,love
383,i feel that ive met people who are genuinely caring and its touching that someone who is on the other side of the world would be so open and honest and bother about how im feeling,love
384,i feel like they draw attention up to your face and can sometimes frame your shoulders and collar bones in a lovely way,love
385,im feeling naughty or im feeling extremely lonely,love
386,i call her a mean name it means i am feeling especially affectionate towards her,love
387,i feel myself longing for eliza even more,love
388,i started to feel hot all over and could barely swallow,love
